Series_Title,Released_Year,Runtime,Genre,IMDB_Rating,Meta_score,Director,No_of_Votes
The Shawshank Redemption,1994,,Drama,nan,nan,,nan
,1972,,"Crime, Drama",nan,nan,,nan
The Dark Knight,,,"Action, Crime, Drama",,,Christopher Nolan,
The Godfather: Part II,nan,,"Crime, Drama",9.0,90.0,Francis Ford Coppola,nan
,1957,,"Crime, Drama",9.0,96.0,Sidney Lumet,nan
The Lord of the Rings: The Return of the King,2003,201 min,,8.9,94.0,Peter Jackson,nan
,,154 min,"Crime, Drama",,,,
Schindler's List,,195 min,,,,,
Inception,,148 min,"Action, Adventure, Sci-Fi",,,Christopher Nolan,
Fight Club,nan,139 min,Drama,8.8,66.0,David Fincher,nan
